;;;2024;2024;2024;2024;2024;2025;2025;2025;2025;2025
KOD KH;NAZWA KH;ABCD;49;50;51;52;53;1;2;3;4;5
6044;MAJA NORTHOLT;A;9,669;17,964;20,412;;2,935;2,494;6,637;8,926;11,637;10,846
6054;MAJA EXETER;A;20,259;17,854;18,254;;0;2,646;7,977;4,280;7,518;7,809
12699;DELIKATESY SMACZEK LUTON 3;A;14,253;12,337;13,562;2,159;2,566;2,116;7,724;4,154;5,325;8,470
387;PRASHANT PATEL;A;9,033;14,498;13,725;4,018;1,929;3,296;5,782;5,263;6,175;7,031
473;LONDEK ILFORD;A;13,440;14,314;10,411;;;3,031;5,838;5,771;9,540;7,982
12364;DELIKATESY SMACZEK COVENTRY;A;11,410;9,785;13,126;;2,500;965;7,403;8,961;7,337;6,910
449;POLSKI SKLEP SMACZEK (READING) LIMITED;A;15,998;3,052;10,579;1,991;2,859;1,232;7,339;7,335;9,061;7,159
386;NIMIT PATEL !! SAVE MORE;A;7,321;10,948;11,324;4,797;4,249;2,291;5,648;3,956;6,982;6,516
16885;LONDEK ROMFORD;B;8,212;10,456;10,241;;1,956;4,581;4,655;6,053;10,421;5,757
2165;SMACZEK SLOUGH 2;A;8,569;10,524;13,409;;2,618;1,044;7,552;3,412;6,621;8,152
11941;SMACZEK SOUTHAMPTON BITTERNE;A;9,843;6,752;14,392;;3,189;1,874;4,132;5,096;6,450;8,076
2380;POLSKIE DELIKATESY SMACZEK BASINGSTOKE;A;8,200;7,342;9,951;3,029;4,010;2,379;6,284;5,688;7,428;4,168
437;POLISH MARKET J.E.S.S.;A;8,634;12,544;17,766;;;2,244;3,721;3,161;4,173;6,013
6052;MAJA BRIDGWATER;A;9,821;16,352;12,759;;0;;5,052;3,332;4,948;5,678
13437;MAJA DRAYTON;A;7,479;7,748;13,195;;3,034;2,068;5,922;5,243;7,978;4,359
401;MINI DELIKATESY KUBUS LTD HARLOW;A;5,997;12,817;9,903;4,400;2,547;-34;3,959;-454;7,613;7,467
6679;DELIKATESY POLSKIE SMACZEK SWINDON 2;A;7,489;5,466;13,046;;4,520;2,526;4,605;3,236;5,459;7,077
1175;CLOCKTOWER EXPRESS;A;6,422;8,939;9,022;2,568;2,716;2,893;4,832;2,599;6,358;6,393
1329;NASZA BIEDRONKA MARGATE;A;5,910;6,689;16,116;;5,706;;1,165;2,257;6,185;4,234
6048;MAJA GREENFORD;A;5,565;8,522;8,393;1,051;0;1,693;3,911;3,813;9,196;4,431
2196;RED RASPBERRY;A;6,172;6,239;7,605;;475;;6,566;3,904;4,600;4,877
2721;IPSWICH FOOD CENTRE;A;5,976;8,367;10,962;21;1,154;;2,584;563;7,324;3,462
3613;SMACZEK HIGH WYCOMBE;A;4,105;7,277;7,988;;941;2,770;4,771;2,748;4,681;4,418
6046;MAJA PROSIAK;B;6,860;5,453;9,852;;0;;4,051;3,203;3,493;4,745
2078;ANNA'S GROCERY;B;6,521;7,407;11,822;;1,515;;2,917;3,433;1,655;1,383
12411;TIP TOP IPSWICH;B;4,839;6,710;6,988;3,062;;;2,817;593;5,353;4,446
1994;THETFORD FOOD;B;4,072;4,085;7,704;;1,408;;3,304;6,193;2,882;2,084
15105;DELICATESSEN FOOD PLUS;A;8,676;6,679;6,223;;;;;1,658;4,307;3,625
3070;KUBUS (BRAINTREE);B;4,919;6,443;9,463;1,966;0;;1,977;-591;4,582;2,002
18236;MAJA CHELMSFORD;A;5,179;5,507;5,500;;1,647;;3,760;-452;5,521;2,909
6051;MAJA TORQUAY;A;4,193;4,633;8,857;-5;-4;1,332;2,376;1,821;2,506;2,826
1967;DELIKATESY POLSKIE SMACZEK SOUTHAMPTON;A;6,480;2,055;4,432;;0;3,378;2,334;1,354;3,771;2,300
2901;POLSKI SKLEP SMACZEK LTD (LEICESTER);A;6,630;5,178;2,641;;0;955;2,242;1,746;3,946;2,306
3022;KLOS DELI;A;3,633;5,050;6,502;1,034;1,657;;978;1,845;1,126;2,762
10181;MAXI PAL;B;3,934;4,550;4,515;;1,668;;2,277;2,957;201;4,468
809;POLSKI SKLEP SMACZEK LANGLEY;A;2,090;6,490;3,220;;1,164;;2,529;2,306;3,585;2,593
16154;MOJA ZABKA;A;2,630;3,698;9,487;;;;984;2,794;1,095;1,547
1163;SMACZEK LUTON 2;B;4,464;6,093;3,280;;0;1,084;2,057;1,759;1,757;1,529
1164;SMACZEK BIRMINGHAM;A;3,843;3,729;4,081;;0;1,548;2,385;918;1,729;1,560
6336;EU SUPPER MARKET;B;2,699;2,078;4,808;;;;936;0;2,023;3,747
3417;VICTORIA BALTIC BRANCH LIMITED;B;3,065;2,502;3,477;902;949;;1,366;805;1,093;1,367
12616;EUROPA B;B;2,267;3,374;3,588;;;;1,966;0;2,199;1,999
16152;RED PEPPER;B;2,208;2,422;1,961;;921;;990;1,182;1,633;1,753
2186;POLE DELI KAJTUS;B;1,334;1,459;2,397;893;1,359;;1,621;;1,214;1,520
4532;EUROPEAN GROCERY SHOP;C;1,464;1,516;1,529;;2,841;;;;;2,478
467;SALISBURY GROCERY & OFF LICENCE;B;1,614;1,815;1,607;;;;933;1,530;1,144;1,113
2461;T/A NISA LOCAL;B;1,044;1,262;1,595;985;975;;;907;1,638;999
11261;DAISY GRAVESEND;B;1,357;1,069;3,147;;;;;712;1,317;1,252
4170;MARKET SQUARE FOOD LTD;B;;1,779;4,661;;;;;;2,367;
17965;KWIK SAVE;C;2,369;212;3,884;;1,600;;270;;;
16327;777PRIMEFOOD;B;992;606;2,045;;;644;;;2,357;624
17811;MAJA IPSWICH;B;4,137;;0;;;;;;;
4466;PREMIUM EXPRESS;C;;3,078;;;;;;;;
